date,margin_debt
1997-01-31,103337.0
1997-02-28,103886.0
1997-03-31,104835.0
1997-04-30,102842.0
1997-05-31,111097.0
1997-06-30,118843.0
1997-07-31,121090.0
1997-08-31,124404.0
1997-09-30,131962.0
1997-10-31,134491.0
1997-11-30,132741.0
1997-12-31,131560.0
1998-01-31,132912.0
1998-02-28,141328.0
1998-03-31,146536.0
1998-04-30,146589.0
1998-05-31,150293.0
1998-06-30,154357.0
1998-07-31,160980.0
1998-08-31,155879.0
1998-09-30,144541.0
1998-10-31,138399.0
1998-11-30,148697.0
1998-12-31,148674.0
1999-01-31,162322.0
1999-02-28,162909.0
1999-03-31,166212.0
1999-04-30,184329.0
1999-05-31,189950.0
1999-06-30,187695.0
1999-07-31,189503.0
1999-08-31,187616.0
1999-09-30,189741.0
1999-10-31,194259.0
1999-11-30,218304.0
1999-12-31,241967.0
2000-01-31,260409.0
2000-02-29,284206.0
2000-03-31,299933.0
2000-04-30,268716.0
2000-05-31,256862.0
2000-06-30,264471.0
2000-07-31,263729.0
2000-08-31,265166.0
2000-09-30,270208.0
2000-10-31,250965.0
2000-11-30,237913.0
2000-12-31,210385.0
2001-01-31,208687.0
2001-02-28,198887.0
2001-03-31,174797.0
2001-04-30,176096.0
2001-05-31,183041.0
2001-06-30,179585.0
2001-07-31,173680.0
2001-08-31,169316.0
2001-09-30,157931.0
2001-10-31,152367.0
2001-11-30,159440.0
2001-12-31,160473.0
2002-01-31,160906.0
2002-02-28,154931.0
2002-03-31,160089.0
2002-04-30,159072.0
2002-05-31,157802.0
2002-06-30,153972.0
2002-07-31,143905.0
2002-08-31,139146.0
2002-09-30,136107.0
2002-10-31,138647.0
2002-11-30,139472.0
2002-12-31,139451.0
2003-01-31,141391.0
2003-02-28,140516.0
2003-03-31,144267.0
2003-04-30,143237.0
2003-05-31,153725.0
2003-06-30,168281.0
2003-07-31,174427.0
2003-08-31,167200.0
2003-09-30,171194.0
2003-10-31,175428.0
2003-11-30,182587.0
2003-12-31,181459.0
2004-01-31,189429.0
2004-02-29,190448.0
2004-03-31,191451.0
2004-04-30,198778.0
2004-05-31,193843.0
2004-06-30,193993.0
2004-07-31,187844.0
2004-08-31,187828.0
2004-09-30,193668.0
2004-10-31,197999.0
2004-11-30,211012.0
2004-12-31,217573.0
2005-01-31,220122.0
2005-02-28,223155.0
2005-03-31,226876.0
2005-04-30,217447.0
2005-05-31,219404.0
2005-06-30,224153.0
2005-07-31,233585.0
2005-08-31,231400.0
2005-09-30,244669.0
2005-10-31,239868.0
2005-11-30,242904.0
2005-12-31,244098.0
2006-01-31,255795.0
2006-02-28,249609.0
2006-03-31,259370.0
2006-04-30,265164.0
2006-05-31,255608.0
2006-06-30,251495.0
2006-07-31,256016.0
2006-08-31,249368.0
2006-09-30,261769.0
2006-10-31,267710.0
2006-11-30,294899.0
2006-12-31,303288.0
2007-01-31,311506.0
2007-02-28,321171.0
2007-03-31,317737.0
2007-04-30,342084.0
2007-05-31,382312.0
2007-06-30,408444.0
2007-07-31,416403.0
2007-08-31,362475.0
2007-09-30,359104.0
2007-10-31,376979.0
2007-11-30,379593.0
2007-12-31,355292.0
2008-01-31,365592.0
2008-02-29,377088.0
2008-03-31,349419.0
2008-04-30,332303.0
2008-05-31,341610.0
2008-06-30,346892.0
2008-07-31,343297.0
2008-08-31,324814.0
2008-09-30,345745.0
2008-10-31,277568.0
2008-11-30,227334.0
2008-12-31,210185.0
2009-01-31,205007.0
2009-02-28,199655.0
2009-03-31,203967.0
2009-04-30,208010.0
2009-05-31,214401.0
2009-06-30,217140.0
2009-07-31,228734.0
2009-08-31,236251.0
2009-09-30,254107.0
2009-10-31,265404.0
2009-11-30,250988.0
2009-12-31,262399.0
2010-01-31,266455.0
2010-02-28,263657.0
2010-03-31,277798.0
2010-04-30,295550.0
2010-05-31,268566.0
2010-06-30,263202.0
2010-07-31,267468.0
2010-08-31,268371.0
2010-09-30,288540.0
2010-10-31,303428.0
2010-11-30,309340.0
2010-12-31,313678.0
2011-01-31,326868.0
2011-02-28,348979.0
2011-03-31,355413.0
2011-04-30,360883.0
2011-05-31,355736.0
2011-06-30,345273.0
2011-07-31,344572.0
2011-08-31,308866.0
2011-09-30,298277.0
2011-10-31,317028.0
2011-11-30,303930.0
2011-12-31,301616.0
2012-01-31,309844.0
2012-02-29,323021.0
2012-03-31,330815.0
2012-04-30,335154.0
